# perft_suite_960.txt - reference node counts for ./perft, Chess960
#
#   ./perft -d 4 -f perft_suite_960.txt                  counts only (3840 runs)
#   ./perft --check --nobulk --make all -d 3 -f perft_suite_960.txt
#                                                        counts + reconcile() + all make modes
#
# NOTE: give this file with -f. A positional argument containing '/' is parsed as a FEN.
#
# All 960 Chess960 start positions in Scharnagl (SP) order, SP-0 first; SP-518 is the standard
# array. Castling is written Shredder-style (rook FILES, e.g. HAha), which is what fen2board()
# understands -- it does NOT infer 960 rook files from a plain KQkq.
#
# Counts generated against Stockfish with 'setoption name UCI_Chess960 value true', as the note
# in perft_suite.txt requires: a recalled number would be indistinguishable from a generator bug.
#
# This suite found a real defect. undo_move() restored the castling rook to its source BEFORE
# clearing its destination, and in Chess960 those can be the SAME square (castling queenside with
# the rook already on d1/d8), so the rook was written and immediately erased from the mailbox.
# The bitboards survived, because the two XORs of one bit cancel -- so every count-based test
# passed with the bug present, in all three make modes, to depth 4. Only reconcile() saw it.
bbqnnrkr/pppppppp/8/8/8/8/PPPPPPPP/BBQNNRKR w HFhf - 0 1 ;D1 20 ;D2 400 ;D3 9006 ;D4 201143
bqnbnrkr/pppppppp/8/8/8/8/PPPPPPPP/BQNBNRKR w HFhf - 0 1 ;D1 20 ;D2 400 ;D3 8948 ;D4 198393
bqnnrbkr/pppppppp/8/8/8/8/PPPPPPPP/BQNNRBKR w HEhe - 0 1 ;D1 20 ;D2 400 ;D3 8988 ;D4 200096
bqnnrkrb/pppppppp/8/8/8/8/PPPPPPPP/BQNNRKRB w GEge - 0 1 ;D1 21 ;D2 441 ;D3 10238 ;D4 235990
qbbnnrkr/pppppppp/8/8/8/8/PPPPPPPP/QBBNNRKR w HFhf - 0 1 ;D1 20 ;D2 400 ;D3 8966 ;D4 198482
qnbbnrkr/pppppppp/8/8/8/8/PPPPPPPP/QNBBNRKR w HFhf - 0 1 ;D1 20 ;D2 400 ;D3 8936 ;D4 198114
qnbnrbkr/pppppppp/8/8/8/8/PPPPPPPP/QNBNRBKR w HEhe - 0 1 ;D1 20 ;D2 400 ;D3 8896 ;D4 196176
qnbnrkrb/pppppppp/8/8/8/8/PPPPPPPP/QNBNRKRB w GEge - 0 1 ;D1 21 ;D2 441 ;D3 10135 ;D4 231062
qbnnbrkr/pppppppp/8/8/8/8/PPPPPPPP/QBNNBRKR w HFhf - 0 1 ;D1 20 ;D2 400 ;D3 8910 ;D4 195995
qnnbbrkr/pppppppp/8/8/8/8/PPPPPPPP/QNNBBRKR w HFhf - 0 1 ;D1 20 ;D2 400 ;D3 8880 ;D4 195650
qnnrbbkr/pppppppp/8/8/8/8/PPPPPPPP/QNNRBBKR w HDhd - 0 1 ;D1 20 ;D2 400 ;D3 8918 ;D4 197226
qnnrbkrb/pppppppp/8/8/8/8/PPPPPPPP/QNNRBKRB w GDgd - 0 1 ;D1 21 ;D2 441 ;D3 10160 ;D4 232315
qbnnrkbr/pppppppp/8/8/8/8/PPPPPPPP/QBNNRKBR w HEhe - 0 1 ;D1 20 ;D2 400 ;D3 8946 ;D4 198282
