# perft_suite_960_xfen.txt - the same 960 start positions written in X-FEN.
#
# X-FEN writes Chess960 castling as plain KQkq, where K means the OUTERMOST rook on the
# king's side rather than the rook on h1. THIS IS WHAT LICHESS SENDS: a live 960 game gives
# [FEN "rbnqbnkr/pppppppp/8/8/8/8/PPPPPPPP/RBNQBNKR w KQkq - 0 1"], king on g1.
#
# Before fen2board() learned to infer the rook files from the board, 124 of these 3840 runs
# failed while the identical positions in Shredder notation all passed -- so a FEN from a
# real lichess 960 game could not be read at all. Same expected counts as
# perft_suite_960.txt, because they are the same positions.
bbqnnrkr/pppppppp/8/8/8/8/PPPPPPPP/BBQNNRKR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 9006 ;D4 201143
bqnbnrkr/pppppppp/8/8/8/8/PPPPPPPP/BQNBNRKR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8948 ;D4 198393
bqnnrbkr/pppppppp/8/8/8/8/PPPPPPPP/BQNNRBKR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8988 ;D4 200096
bqnnrkrb/pppppppp/8/8/8/8/PPPPPPPP/BQNNRKRB w KQkq - 0 1 ;D1 21 ;D2 441 ;D3 10238 ;D4 235990
qbbnnrkr/pppppppp/8/8/8/8/PPPPPPPP/QBBNNRKR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8966 ;D4 198482
qnbbnrkr/pppppppp/8/8/8/8/PPPPPPPP/QNBBNRKR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8936 ;D4 198114
qnbnrbkr/pppppppp/8/8/8/8/PPPPPPPP/QNBNRBKR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8896 ;D4 196176
qnbnrkrb/pppppppp/8/8/8/8/PPPPPPPP/QNBNRKRB w KQkq - 0 1 ;D1 21 ;D2 441 ;D3 10135 ;D4 231062
qbnnbrkr/pppppppp/8/8/8/8/PPPPPPPP/QBNNBRKR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8910 ;D4 195995
qnnbbrkr/pppppppp/8/8/8/8/PPPPPPPP/QNNBBRKR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8880 ;D4 195650
qnnrbbkr/pppppppp/8/8/8/8/PPPPPPPP/QNNRBBKR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8918 ;D4 197226
qnnrbkrb/pppppppp/8/8/8/8/PPPPPPPP/QNNRBKRB w KQkq - 0 1 ;D1 21 ;D2 441 ;D3 10160 ;D4 232315
qbnnrkbr/pppppppp/8/8/8/8/PPPPPPPP/QBNNRKBR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8946 ;D4 198282
qnnbrkbr/pppppppp/8/8/8/8/PPPPPPPP/QNNBRKBR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8872 ;D4 195123
qnnrkbbr/pppppppp/8/8/8/8/PPPPPPPP/QNNRKBBR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8954 ;D4 199619
qnnrkrbb/pppppppp/8/8/8/8/PPPPPPPP/QNNRKRBB w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8912 ;D4 197638
bbnqnrkr/pppppppp/8/8/8/8/PPPPPPPP/BBNQNRKR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8988 ;D4 200337
bnqbnrkr/pppppppp/8/8/8/8/PPPPPPPP/BNQBNRKR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8936 ;D4 198985
bnqnrbkr/pppppppp/8/8/8/8/PPPPPPPP/BNQNRBKR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8936 ;D4 198849
bnqnrkrb/pppppppp/8/8/8/8/PPPPPPPP/BNQNRKRB w KQkq - 0 1 ;D1 21 ;D2 441 ;D3 10177 ;D4 233197
nbbqnrkr/pppppppp/8/8/8/8/PPPPPPPP/NBBQNRKR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7822 ;D4 168109
nqbbnrkr/pppppppp/8/8/8/8/PPPPPPPP/NQBBNRKR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7803 ;D4 167148
nqbnrbkr/pppppppp/8/8/8/8/PPPPPPPP/NQBNRBKR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7801 ;D4 166982
nqbnrkrb/pppppppp/8/8/8/8/PPPPPPPP/NQBNRKRB w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8934 ;D4 198597
nbqnbrkr/pppppppp/8/8/8/8/PPPPPPPP/NBQNBRKR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7784 ;D4 166501
nqnbbrkr/pppppppp/8/8/8/8/PPPPPPPP/NQNBBRKR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7748 ;D4 164828
nqnrbbkr/pppppppp/8/8/8/8/PPPPPPPP/NQNRBBKR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7784 ;D4 166263
nqnrbkrb/pppppppp/8/8/8/8/PPPPPPPP/NQNRBKRB w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8918 ;D4 197945
nbqnrkbr/pppppppp/8/8/8/8/PPPPPPPP/NBQNRKBR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7818 ;D4 168386
nqnbrkbr/pppppppp/8/8/8/8/PPPPPPPP/NQNBRKBR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7742 ;D4 165317
nqnrkbbr/pppppppp/8/8/8/8/PPPPPPPP/NQNRKBBR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7816 ;D4 168386
nqnrkrbb/pppppppp/8/8/8/8/PPPPPPPP/NQNRKRBB w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7778 ;D4 166662
bbnnqrkr/pppppppp/8/8/8/8/PPPPPPPP/BBNNQRKR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8950 ;D4 198720
bnnbqrkr/pppppppp/8/8/8/8/PPPPPPPP/BNNBQRKR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8840 ;D4 194817
bnnqrbkr/pppppppp/8/8/8/8/PPPPPPPP/BNNQRBKR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8878 ;D4 196301
bnnqrkrb/pppppppp/8/8/8/8/PPPPPPPP/BNNQRKRB w KQkq - 0 1 ;D1 21 ;D2 441 ;D3 10118 ;D4 230734
nbbnqrkr/pppppppp/8/8/8/8/PPPPPPPP/NBBNQRKR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7784 ;D4 166553
nnbbqrkr/pppppppp/8/8/8/8/PPPPPPPP/NNBBQRKR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7680 ;D4 163033
nnbqrbkr/pppppppp/8/8/8/8/PPPPPPPP/NNBQRBKR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7678 ;D4 162755
nnbqrkrb/pppppppp/8/8/8/8/PPPPPPPP/NNBQRKRB w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8800 ;D4 192910
nbnqbrkr/pppppppp/8/8/8/8/PPPPPPPP/NBNQBRKR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7729 ;D4 164162
nnqbbrkr/pppppppp/8/8/8/8/PPPPPPPP/NNQBBRKR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7718 ;D4 164609
nnqrbbkr/pppppppp/8/8/8/8/PPPPPPPP/NNQRBBKR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7716 ;D4 164390
nnqrbkrb/pppppppp/8/8/8/8/PPPPPPPP/NNQRBKRB w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8840 ;D4 194520
nbnqrkbr/pppppppp/8/8/8/8/PPPPPPPP/NBNQRKBR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7723 ;D4 164565
nnqbrkbr/pppppppp/8/8/8/8/PPPPPPPP/NNQBRKBR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7710 ;D4 163874
nnqrkbbr/pppppppp/8/8/8/8/PPPPPPPP/NNQRKBBR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7708 ;D4 163923
nnqrkrbb/pppppppp/8/8/8/8/PPPPPPPP/NNQRKRBB w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7668 ;D4 162138
bbnnrqkr/pppppppp/8/8/8/8/PPPPPPPP/BBNNRQKR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8948 ;D4 198454
bnnbrqkr/pppppppp/8/8/8/8/PPPPPPPP/BNNBRQKR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8838 ;D4 194525
bnnrqbkr/pppppppp/8/8/8/8/PPPPPPPP/BNNRQBKR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8878 ;D4 196384
bnnrqkrb/pppppppp/8/8/8/8/PPPPPPPP/BNNRQKRB w KQkq - 0 1 ;D1 21 ;D2 441 ;D3 10118 ;D4 230600
nbbnrqkr/pppppppp/8/8/8/8/PPPPPPPP/NBBNRQKR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7782 ;D4 166301
nnbbrqkr/pppppppp/8/8/8/8/PPPPPPPP/NNBBRQKR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7678 ;D4 162755
nnbrqbkr/pppppppp/8/8/8/8/PPPPPPPP/NNBRQBKR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7678 ;D4 162816
nnbrqkrb/pppppppp/8/8/8/8/PPPPPPPP/NNBRQKRB w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8800 ;D4 192766
nbnrbqkr/pppppppp/8/8/8/8/PPPPPPPP/NBNRBQKR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7727 ;D4 163964
nnrbbqkr/pppppppp/8/8/8/8/PPPPPPPP/NNRBBQKR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7718 ;D4 164522
nnrqbbkr/pppppppp/8/8/8/8/PPPPPPPP/NNRQBBKR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7718 ;D4 164522
nnrqbkrb/pppppppp/8/8/8/8/PPPPPPPP/NNRQBKRB w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8842 ;D4 194855
nbnrqkbr/pppppppp/8/8/8/8/PPPPPPPP/NBNRQKBR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7723 ;D4 164453
nnrbqkbr/pppppppp/8/8/8/8/PPPPPPPP/NNRBQKBR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7712 ;D4 164064
nnrqkbbr/pppppppp/8/8/8/8/PPPPPPPP/NNRQKBBR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7710 ;D4 163798
nnrqkrbb/pppppppp/8/8/8/8/PPPPPPPP/NNRQKRBB w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7670 ;D4 161998
bbnnrkqr/pppppppp/8/8/8/8/PPPPPPPP/BBNNRKQR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8946 ;D4 198468
bnnbrkqr/pppppppp/8/8/8/8/PPPPPPPP/BNNBRKQR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8832 ;D4 193554
bnnrkbqr/pppppppp/8/8/8/8/PPPPPPPP/BNNRKBQR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8914 ;D4 197903
bnnrkqrb/pppppppp/8/8/8/8/PPPPPPPP/BNNRKQRB w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8878 ;D4 196163
nbbnrkqr/pppppppp/8/8/8/8/PPPPPPPP/NBBNRKQR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7780 ;D4 166749
nnbbrkqr/pppppppp/8/8/8/8/PPPPPPPP/NNBBRKQR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7672 ;D4 162265
nnbrkbqr/pppppppp/8/8/8/8/PPPPPPPP/NNBRKBQR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7670 ;D4 162310
nnbrkqrb/pppppppp/8/8/8/8/PPPPPPPP/NNBRKQRB w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7636 ;D4 160747
nbnrbkqr/pppppppp/8/8/8/8/PPPPPPPP/NBNRBKQR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7723 ;D4 164452
nnrbbkqr/pppppppp/8/8/8/8/PPPPPPPP/NNRBBKQR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7712 ;D4 164068
nnrkbbqr/pppppppp/8/8/8/8/PPPPPPPP/NNRKBBQR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8876 ;D4 196075
nnrkbqrb/pppppppp/8/8/8/8/PPPPPPPP/NNRKBQRB w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8840 ;D4 194517
nbnrkqbr/pppppppp/8/8/8/8/PPPPPPPP/NBNRKQBR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7759 ;D4 165931
nnrbkqbr/pppppppp/8/8/8/8/PPPPPPPP/NNRBKQBR w KQkq - 0 1 ;D1 19 ;D2 361 ;D3 7710 ;D4 163799
nnrkqbbr/pppppppp/8/8/8/8/PPPPPPPP/NNRKQBBR w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8876 ;D4 196079
nnrkqrbb/pppppppp/8/8/8/8/PPPPPPPP/NNRKQRBB w KQkq - 0 1 ;D1 20 ;D2 400 ;D3 8834 ;D4 194052
